시간,규모,진앙(km),위도,경도,위치
1982-08-29 15:34,3.5, ,37.1,126,인천 옹진군 덕적도 남서쪽 18km 해역
1982-08-31 20:49,3.2, ,37.1,126,인천 옹진군 덕적도 남서쪽 18km 해역
1982-10-11 17:32,3.1, ,36.4,129.6,경북 영덕군 동쪽 21km 해역
1983-01-11 1:15,3.4, ,38.7,125.6,북한 황해북도 송림 남서쪽 5km 지역
1983-02-08 20:57,2.9, ,38,124.9,인천 백령도 동북동쪽 20km 해역
1983-02-11 4:53,2.6, ,38.6,126.5,북한 황해북도 신계 북북서쪽 12km 지역
1983-02-28 16:36,2.6, ,37.7,126.1,인천 강화군 서쪽 35km 해역
1983-05-09 18:59,3.2, ,38.9,126.3,북한 평안남도 성천 남남동쪽 39km 지역
1983-06-08 21:25,3.4, ,36.8,127.8,충북 괴산군 남동쪽 2km 지역
1983-06-21 0:52,3, ,36.8,127.5,충북 진천군 남동쪽 8km 지역
1983-08-09 13:00,2.8, ,39.5,125.9,북한 평안남도 개천 남쪽 22km 지역
1983-08-21 5:13,3.5, ,36.4,126,전북 군산시 어청도 북쪽 31km 해역
1983-09-17 12:17,4.2, ,38.3,126.1,북한 황해북도 평산 서쪽 26km 지역
1983-09-27 13:07,2.9, ,38.9,124.9,북한 남포 서북서쪽 50km 해역
1983-10-08 13:58,3.3, ,39.6,126.1,북한 평안남도 개천 동남동쪽 20km 지역
1983-10-11 13:47,3.5, ,38.8,125.7,북한 황해북도 송림 북동쪽 9km 지역
1983-12-08 3:04,2.5, ,36.9,125.6,충남 태안군 서격렬비열도 북쪽 34km 해역
1983-12-21 20:10,2.3, ,38.2,126.1,북한 황해북도 평산 서남서쪽 29km 지역
1983-12-23 22:40,3, ,36.5,128.1,경북 상주시 북북서쪽 12km 지역
1984-01-13 17:06,3, ,37.4,129.5,강원 삼척시 동쪽 30km 해역
1984-01-28 13:30,2.9, ,37.1,124.6,인천 백령도 남쪽 95km 해역
1984-01-30 13:21,2.4, ,39.6,126.2,북한 평안남도 덕천 남남서쪽 19km 지역
1984-02-13 11:31,3.2, ,37,125.5,충남 태안군 서격렬비열도 북쪽 45km 해역
1984-03-17 13:00,3, ,39.5,126.1,북한 평안남도 개천 남동쪽 28km 지역
1984-03-21 0:15,3.2, ,36.8,126.6,충남 서산시 동쪽 13km 지역
1984-03-30 13:30,2.6, ,39.1,125.9,북한 평안남도 평성 남남동쪽 16km 지역
1984-04-10 1:56,2.2, ,36.1,128.2,경북 김천시 동남동쪽 10km 지역
1984-04-30 11:59,3.1, ,39.3,125.7,북한 평안남도 평성 서북서쪽 15km 지역
1984-05-04 22:04,2.5, ,35.1,126.6,전남 함평군 동북동쪽 8km 지역
1984-05-04 22:05,2.6, ,35.1,126.7,전남 나주시 북쪽 10km 지역
1984-05-11 15:00,3.2, ,38.6,125.1,북한 남포 서남서쪽 35km 지역
1984-05-14 11:39,2.6, ,35.2,126.7,광주 광산구 북서쪽 11km 지역
1984-06-25 23:53,2.2, ,37,126.8,경기 평택시 서쪽 28km 지역
1984-07-19 13:57,3.9, ,36,125.2,전북 군산시 어청도 서남서쪽 70km 해역
1984-08-05 7:35,2.8, ,37.2,125,인천 옹진군 연평도 남서쪽 81km 해역
1984-10-10 16:30,2.9, ,38.9,125.9,북한 평양 남동쪽 19km 지역
1984-11-09 21:29,2.4, ,35.8,128.5,대구 달성군 서남서쪽 6km 지역
1984-11-16 8:50,2.6, ,39.9,125.9,북한 평안북도 영변 북동쪽 13km 지역
1985-01-14 12:44,4.2, ,34.6,129.9,부산 해운대구 남동쪽 91km 해역
1985-01-15 9:59,3.4, ,34.7,130,부산 해운대구 남동쪽 92km 해역
1985-03-22 16:01,2.7, ,38.4,125.1,북한 황해남도 장연 북쪽 17km 지역
1985-04-20 21:36,3.4, ,41.6,127,북한 자강도 중강 남남동쪽 22km 지역
1985-05-13 18:26,2.9, ,36.6,128.6,경북 안동시 서북서쪽 12km 지역
1985-05-22 17:27,2.9, ,38.1,125.6,북한 황해남도 해주 북서쪽 12km 지역
1985-05-27 6:23,2.4, ,38.3,125.9,북한 황해북도 사리원 남남동쪽 26km 지역
1985-06-07 12:59,3.1, ,39.4,125.9,북한 평안남도 평성 북쪽 18km 지역
1985-06-18 13:43,2.8, ,38.5,125.8,북한 황해북도 사리원 동쪽 3km 지역
1985-06-20 5:03,3.3, ,35.9,128.6,대구 북구 북동쪽 2km 지역
1985-06-25 6:40,4, ,37.3,126.4,인천 옹진군 남서쪽 27km 해역
1985-06-25 7:29,2.8, ,37.3,126.4,인천 옹진군 남서쪽 27km 해역
1985-06-25 11:13,3.8, ,36.9,129.7,경북 울진군 동남동쪽 28km 해역
1985-06-26 17:19,2.6, ,37.3,126.4,인천 옹진군 남서쪽 27km 해역
1985-07-18 19:14,2.4, ,38.5,125.8,북한 황해북도 사리원 동쪽 3km 지역
1985-08-05 19:24,2.8, ,39.4,125.9,북한 평안남도 평성 북쪽 18km 지역
1985-08-08 16:47,3.1, ,38.4,125.1,북한 황해남도 장연 북쪽 17km 지역
1985-11-02 2:56,2.9, ,36.7,128.9,경북 안동시 북동쪽 21km 지역
1985-11-10 17:23,3.1, ,39.8,125.8,북한 평안북도 영변 남쪽 1km 지역
1985-12-10 21:42,3.2, ,35.8,129.7,경북 포항시 남구 남동쪽 38km 해역
1985-12-22 12:09,3, ,39.3,125.8,북한 평안남도 평성 북서쪽 8km 지역
1986-01-19 11:20,3, ,33.5,126.4,제주 제주시 서쪽 12km 해역
1986-02-03 16:38,2.8, ,35.7,126.9,전북 정읍시 북북동쪽 15km 지역
1986-02-09 7:04,3.3, ,35.9,125.8,전북 군산시 어청도 남남서쪽 29km 해역
1986-03-04 5:29,2.7, ,39.4,125.7,북한 평안남도 평성 북서쪽 23km 지역
1986-03-17 11:52,3.2, ,35.9,129.5,경북 포항시 남구 남동쪽 17km 지역
1986-03-20 16:46,3.6, ,34.2,125.1,전남 신안군 가거도 북쪽 17km 해역
1986-03-24 10:58,2.6, ,38.8,125.9,북한 황해북도 송림 동북동쪽 24km 지역
1986-04-26 4:24,3.5, ,36.6,125.5,충남 태안군 서격렬비열도 서쪽 3km 해역
1986-04-27 9:03,3.3, ,36.5,125.6,충남 태안군 서격렬비열도 남남동쪽 13km 해역
1986-05-02 12:44,3.4, ,36.6,125.8,충남 태안군 서격렬비열도 동쪽 24km 해역
1986-05-02 17:26,3, ,36.7,125.7,충남 태안군 서격렬비열도 북동쪽 19km 해역
1986-05-11 4:03,3.1, ,36.6,125.9,충남 태안군 서격렬비열도 동쪽 33km 해역
1986-07-11 16:43,3.2, ,34.3,126.9,전남 완도군 동쪽 13km 해역
1986-08-11 9:52,3.5, ,37.1,126,인천 옹진군 덕적도 남서쪽 18km 해역
1987-03-06 7:10,4, ,38.7,125.5,북한 남포 남동쪽 8km 지역
1987-06-13 11:32,2.8, ,35.3,126.1,전남 영광군 서쪽 38km 해역
1987-09-25 0:44,2.2, ,37.8,129.1,강원 강릉시 동북동쪽 19km 해역
1987-10-06 7:04,3.1, ,35.9,129.9,경북 포항시 남구 동남동쪽 50km 해역
1987-10-06 23:36,3.5, ,36.2,130.1,경북 포항시 북구 동북동쪽 68km 해역
1987-10-25 13:23,3.7, ,37.5,130.1,경북 울릉군 울릉도 서쪽 71km 해역
1988-01-24 6:46,2.9, ,36.2,129.2,경북 포항시 북구 북서쪽 23km 지역
1988-04-15 15:44,3.7, ,40.4,127,북한 함경남도 장진 서쪽 20km 지역
1988-05-03 14:59,3.4, ,38.3,126.3,북한 황해북도 평산 서남서쪽 9km 지역
1988-10-15 17:26,3.4, ,38.4,126.2,북한 황해북도 평산 서북서쪽 18km 지역
1988-12-02 23:54,2.5, ,36.3,127.9,경북 상주시 서남서쪽 26km 지역
1989-01-05 15:13,3.2, ,38.5,126.1,북한 황해북도 사리원 동쪽 30km 지역
1989-03-03 15:15,3.4, ,38.1,124.9,북한 황해남도 장연군 남서쪽 24km 지역
1989-03-13 16:03,3.4, ,38.2,125.5,북한 황해남도 해주 북서쪽 26km 지역
1989-03-29 15:00,3.1, ,37.9,125.9,북한 황해남도 해주 남동쪽 23km 지역
1989-04-30 15:27,3.4, ,36.3,127.3,대전 유성구 남서쪽 8km 지역
1989-05-22 14:59,3.2, ,37.8,125.8,북한 인천 옹진군 연평도 북북동쪽 17km 해역
1989-05-25 14:58,3.1, ,38.6,126.3,북한 황해북도 신계 서북서쪽 23km 지역
1989-06-20 15:28,3.2, ,38.1,126.2,북한 황해북도 평산 남남서쪽 31km 지역
1989-06-23 0:26,3.5, ,36.7,127.8,충북 괴산군 남쪽 12km 지역
1989-12-11 15:18,2.8, ,38,125.9,북한 황해남도 해주 동남동쪽 17km 지역
1989-12-29 14:59,2.8, ,38.2,126.2,북한 황해북도 평산군 22km 지역
1990-01-09 13:53,2.9, ,36.6,125.6,충남 태안군 서격렬비열도 동쪽 6km 해역
1990-01-10 17:08,2.5, ,36.3,127.4,대전 중구 남서쪽 4km 지역
1990-01-28 15:01,2.7, ,38.3,126.2,북한 황해북도 평산 서남서쪽 17km 지역
1990-02-18 21:29,3.3, ,38.2,123.9,북한 인천 백령도 서북서쪽 74km 해역
1990-02-22 15:14,2.8, ,38.3,126.4,북한 황해북도 평산 남쪽 4km 지역
1990-02-28 13:53,2.5, ,38,126.2,북한 개성 서쪽 32km 지역
1990-02-28 15:01,3.1, ,38.3,126.3,북한 황해북도 평산 서남서쪽 9km 지역
1990-03-04 14:51,2.6, ,38.7,125.8,북한 황해북도 송림 동남동쪽 15km 지역
1990-03-10 16:59,2.7, ,38.2,126.3,북한 황해북도 평산 남남서쪽 17km 지역
1990-03-11 15:30,2.6, ,38.1,126.3,북한 황해북도 평산 남남서쪽 27km 지역
1990-06-02 1:46,2.4, ,36.4,127.8,충북 보은군 남남동쪽 11km지역
1990-06-14 3:37,2.3, ,37.5,127.1,서울 송파구 남서쪽 2km 지역
1990-06-19 13:28,2.6, ,37.8,123.7,인천 백령도 서남서쪽 88km 해역
1990-06-30 10:45,2.5, ,36.5,126.7,충남 홍성군 남남동쪽 11km 지역
1990-10-22 18:09,3.4, ,35.9,130,경북 포항시 남구 동남동쪽 59km 해역
1991-01-03 8:27,2.7, ,36.4,128.8,경북 의성군 동북동쪽 11km 지역
1991-01-03 14:39,3.4, ,37.6,124.7,인천 백령도 남쪽 39km 해역
1991-01-25 3:57,2.8, ,37.3,129.8,경북 울진 북동쪽 50km 해역
1991-02-02 11:08,3.4, ,33.4,123.8,전남 신안군 흑산면 남서쪽 207km 해역
1991-03-28 3:31,2.7, ,37,126.4,충남 서산시 북쪽 25km 지역
1991-04-14 1:48,3.1, ,36.5,128.7,경북 안동시 남남서쪽 8km 지역
1991-04-27 20:01,3, ,36.1,127.2,충남 논산시 남동쪽 13km 지역
1991-05-13 1:25,2.2, ,35.9,128.5,경북 칠곡군 남동쪽 13km 지역
1991-05-13 10:58,2, ,35.3,126.7,전남 장성군 서쪽 8km 지역
1991-05-23 7:16,2.6, ,36.5,127.9,경북 상주시 서북서쪽 25km 지역
1991-06-07 15:25,2.7, ,35.8,128.8,경북 경산시 동남동쪽 6km 지역
1991-06-18 16:07,2.6, ,39.1,126.1,북한 평안남도 성천 남남서쪽 19km 지역
1991-07-20 12:25,3.1, ,35.3,127.9,경남 산청군 남쪽 13km 지역
